softwarename,softwareversion,osversion,machinename,datetimeformat,decimal,grouping,culturename,finished,devicename,filter,deviceserial,deviceversion,modenumber,epochlength,startdatetime,stopdatetime,downloaddatetime,batteryvoltage,original sample rate,subjectname,sex,race,limb,epochcount,sleepscorealgorithmname,customsleepparameters,notes,filename
ActiLife,5.10.0,Microsoft Windows NT 6.1.7601 Service Pack 1,THINKCENTRE,dd-MM-yyyy,.,",",English (India),true,GT3XPlus,Normal,NEO1D31110533,2.5.0,61,10,635670972000000000,635672088000000000,635672179164562010,4.22,30,11,Male,Asian / Pacific Islander,Other,11159,Sadeh,,,C:/Users/msalmon/Documents/R/win-library/3.2/convertagd/extdata/dummyCHAI.agd
ActiLife,5.10.0,Microsoft Windows NT 6.1.7601 Service Pack 1,THINKCENTRE,dd-MM-yyyy,.,",",English (India),true,GT3XPlus,Normal,NEO1D31110458,2.5.0,61,10,635698620000000000,635699736000000000,635699757126023928,4.26,30,5,Female,Asian / Pacific Islander,Other,11159,Sadeh,,,C:/Users/msalmon/Documents/R/win-library/3.2/convertagd/extdata/dummyCHAI2.agd
